"CVEGEO","NOM_ENT","NOM_MUN","Poblacion_total","Poblacion_total_Femenina","Poblacion_total_Femenina_11A17","Poblacion_total_Femenina_18A20","Poblacion_total_Femenina_11A20","Conteo_nacimientos","Porcentaje_nacimientos","Porcentaje_libre","area"
1001,"Aguascalientes","Aguascalientes",949902,486550,56207,24461,80668,2269,2.81276342539793,97.1872365746021,1176169370.64883
1002,"Aguascalientes","Asientos",51779,26217,3807,1549,5356,204,3.80881254667662,96.1911874533234,549483484.782346
1003,"Aguascalientes","Calvillo",58423,29665,3824,1585,5409,132,2.44037714919578,97.5596228508042,947995088.13744
1004,"Aguascalientes","Cosío",17130,8684,1159,528,1687,72,4.2679312388856,95.7320687611144,130069159.642492
1005,"Aguascalientes","Jesús María",130165,65612,8831,3740,12571,336,2.67281839153608,97.3271816084639,558333958.118474
1006,"Aguascalientes","Pabellón de Arteaga",48004,24163,3276,1417,4693,197,4.19774131685489,95.8022586831451,200247876.480037
1007,"Aguascalientes","Rincón de Romos",57906,29104,3966,1691,5657,202,3.57079724235461,96.4292027576454,376816150.934697
1008,"Aguascalientes","San José de Gracia",9579,5009,654,285,939,24,2.55591054313099,97.444089456869,802472565.230187
1009,"Aguascalientes","Tepezalá",22704,11344,1579,687,2266,80,3.53045013239188,96.4695498676081,232659314.489157
1010,"Aguascalientes","El Llano",21579,10345,1359,567,1926,37,1.92107995846314,98.0789200415369,516495239.523358
1011,"Aguascalientes","San Francisco de los Romo",62133,31218,4588,1747,6335,233,3.67797947908445,96.3220205209155,139548573.65923
2001,"Baja California","Ensenada",446399,221783,24312,10296,34608,1024,2.95885344429034,97.0411465557097,13552612137.6303
2002,"Baja California","Mexicali",1053123,519420,58439,24986,83425,2109,2.52801917890321,97.4719808210968,9962368714.9196
2003,"Baja California","Tecate",109372,51019,6056,2470,8526,355,4.16373445930096,95.836265540699,2862846540.25818
2004,"Baja California","Tijuana",1923220,953595,108419,45398,153817,4768,3.09978740971414,96.9002125902859,1076917254.25091
2005,"Baja California","Playas de Rosarito",127216,62387,7350,3233,10583,380,3.59066427289048,96.4093357271095,507022602.748542
2006,"Baja California","San Quintín",118355,57581,7826,3230,11056,485,4.38675832127352,95.6132416787265,34147446369.0577
2007,"Baja California","San Felipe",NA,NA,NA,NA,NA,53,NA,NA,11019047645.8593
3001,"Baja California Sur","Comondú",74365,36061,4344,1995,6339,185,2.91844139454173,97.0815586054583,17737579415.9229
3002,"Baja California Sur","Mulegé",64860,30811,3896,1593,5489,183,3.33394060848971,96.6660593915103,30840209607.4776
3003,"Baja California Sur","La Paz",294115,146036,15686,6734,22420,427,1.90454950936664,98.0954504906334,15479000400.7544
3008,"Baja California Sur","Los Cabos",352356,170031,21528,8345,29873,900,3.01275399189904,96.987246008101,3564608111.40216
3009,"Baja California Sur","Loreto",18340,8749,1082,451,1533,57,3.71819960861057,96.2818003913894,4540869471.79387
4001,"Campeche","Calkiní",59347,30051,3567,1408,4975,72,1.44723618090452,98.5527638190955,1735372178.78123
4002,"Campeche","Campeche",294772,152495,15311,6727,22038,419,1.90126145748253,98.0987385425175,3246984730.94071
4003,"Campeche","Carmen",250565,125491,13812,5661,19473,621,3.18903096595286,96.8109690340471,8598180131.11665
4004,"Campeche","Champotón",78690,39089,5168,2120,7288,352,4.82985729967069,95.1701427003293,6592393011.65637
4005,"Campeche","Hecelchakán",31940,16191,2006,798,2804,71,2.5320970042796,97.4679029957204,1278618097.92795
